#ServerReceiveDate,msec,HsSendDate,msec,ProtorolVer,Sn,Lat,Lon,G_amp,Seq,P_Shindo,P_Gal,S_ShindoEst,S_ShindoEst,S_Shindo,S_Gal,P_sn,P_co_p,TrigStartDate,msec,Uncertainty,isEq,Bcast,IsEew,Param,MdPort,MdEn,MdAct,Sp
9/8/17 4:50,65,4:50:24,4,2,1604482,14.9074,-92.2622,1.22,16,1.17,1.31,2.17,3.94,3.46,18.4,57,3369,9/8/17 4:49,144,0,2500,ON,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,69,4:50:24,28,2,1604396,16.20459,-95.2071,1.22,14,2.31,4.86,3.31,14.57,5.47,184.65,131,3628,9/8/17 4:49,737,0,2500,ON,OFF,,10505,ON,ON,ON
9/8/17 4:50,225,13:50:24,191,2,1604063,17.0966,-96.7186,1.22,9,1.31,1.54,2.31,4.62,1.45,1.82,56,551,9/8/17 13:50,663,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,627,13:50:25,592,2,1604063,17.0966,-96.7186,1.22,10,1.32,1.55,2.32,4.66,1.73,2.5,56,691,9/8/17 13:50,663,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,420,13:50:26,397,2,1604054,17.07889,-96.7072,1.22,10,1.02,1.11,2.02,3.33,2.4,5.41,46,1182,9/8/17 13:50,566,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,426,13:50:27,391,2,1604063,17.0966,-96.7186,1.22,11,1.34,1.59,2.34,4.77,2.15,4.05,56,871,9/8/17 13:50,663,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,320,4:50:28,297,2,1604397,15.7734,-96.0966,1.22,16,2.01,3.44,3.01,10.32,5.19,134.16,110,3374,9/8/17 4:49,540,2500,2500,ON,OFF,,10505,ON,ON,ON
9/8/17 4:50,376,13:50:29,336,2,1604056,16.3487,-98.0605,1.22,1,0.66,0.73,1.66,2.18,0.66,0.73,28,229,9/8/17 13:50,15,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,420,13:50:29,397,2,1604054,17.07889,-96.7072,1.22,11,1,1.08,2,3.24,2.63,7.02,46,1482,9/8/17 13:50,566,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,625,13:50:29,591,2,1604063,17.0966,-96.7186,1.22,12,1.34,1.59,2.34,4.77,2.21,4.34,56,1091,9/8/17 13:50,663,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,957,13:50:29,922,2,1604056,16.3487,-98.0605,1.22,2,0.69,0.76,1.69,2.27,0.69,0.76,27,289,9/8/17 13:50,15,0,2300,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,404,13:50:30,359,2,1604159,16.3423,-98.0549,1.22,1,0.9,0.96,1.9,2.87,0.8,0.85,35,69,9/8/17 13:50,636,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,684,13:50:30,645,2,1604159,16.3423,-98.0549,1.22,2,0.88,0.94,1.88,2.81,0.85,0.91,33,99,9/8/17 13:50,636,0,2450,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,757,13:50:30,723,2,1604056,16.3487,-98.0605,1.22,3,0.89,0.95,1.89,2.85,0.86,0.91,30,369,9/8/17 13:50,15,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,988,13:50:30,945,2,1604159,16.3423,-98.0549,1.22,3,0.85,0.91,1.85,2.72,0.85,0.91,29,129,9/8/17 13:50,636,0,2300,OFF,OFF,,10505,ON,OFF,OFF
